Description,Length (in),Width (in),Height (in),Weight (lbs),Lead TCN,PAX
AFE SUPPLIES 6 SHI,88,108,80,5133,FYS3P112S200080XX,
MHU-226 W/ BINS/EM,200,89,93,6050,FYSHP202S100020XX,
HESAMS,88,108,96,8025,FYS3P112S100050XX,
LOADER WEAPONS,145,53,41,4090,FYSHP112S100080XX,
BRU 61 IN CNU 660,88,108,76,3001,FYSHP112S100420XX,
INTEL/OPS 2 (CLASS),88,108,96,6343,FYS3P112S100020XX,
LOADERS WEAPONS,145,53,41,4360,FYSHP112S100250XX,
AFE SUPPLIES 6 SHI,88,108,80,3300,FYS3P112S200020XX,
WEAPONS SUPPORT EQ,88,108,90,6671,FYSHP112S200110XX,
Bag Pallet,88,108,67,4300,FYSHP112S100010XX,
PLANT, MOBILE, N2,87,69,63,3890,FYSHP112S100190XX,
TRACTOR, TOW,128,55,47,8980,FYSHP112E100210XX,
INTEL/OPS 1 (CLASS),88,108,96,3887,FYS3P112S100010XX,1
,, , , , ,1
,, , , , ,4
,, , , , ,4
,, , , , ,20

TOWBAR, ACFT, LAND,240,16,9,230,FYSHP102S200290XX,
Bag Pallet,88,108,67,4300,FYSHP112S100010XX,
SE AMU,88,108,90,5191,FYSHP112E100010XX,
LIGHTNING PRO/-21,88,108,90,2681,FYSHP112E100030XX,
F-35 DSP 2,88,108,96,4300,FYSHP112S200640XX,
BOS RIG/AV CTK AMU,88,108,90,3235,FYSHP112S100210XX,
FIRE BOTTLE AMU,88,108,60,2347,FYSHP112S100050XX,
F-35 DSP 1,88,108,96,4300,FYSHP112S200650XX,
3EA MHU-141 TRAILE,141,92,94,7950,FYSHP202M100130XX,
LOADERS WEAPONS,145,53,41,4090,FYSHP112S100140XX,30
